ferroadas	picadas
turbulência	agitação
furtado	roubado
prudência	cautela
sofisticado	refinado
desvincular	desligar
ensombrecendo	escurecendo
bobagens	besteiras
busto	estátua
determinação	decisão
redutos	abrigos
ressalta	destaca
degradação	destruição
sensores	detectores
mordomias	vantagens
efetiva	eficaz
amostra	porção
precaução	cuidado
motivou	causou
equiparar	igualar
rentabilidade	lucratividade
artefatos	objetos
delegação	comissão
antivirais	remédios
precipitada	impulsiva
postergado	adiado
inibir	impedir
primórdios	inícios
contraditório	incoerente
parceiros	aliados
inspeção	verificação
revista	revisada
armada	criada
apetitosas	saborosas
proporcionar	fornecer
patamar	nível
redobrada	aumentada
experimentos	testes
rigor	dureza
particularidades	características
atualmente	hoje em dia
expedição	viagem
escassez	carência
reparos	consertos
procedimentos	métodos
confinamento	prisão
sussurrando	cochichando
mero	simples
liderados	chefiados
montada	construída
possivelmente	provavelmente
eqüinos	cavalos
debilitado	doente
escalões	níveis
concretização	realização
advento	surgimento
sedimentos	resíduos
terraplenado	plano
parceria	colaboração
abrasador	quente
alheia	de outros
implicações	consequências
computando	avaliando
controvérsias	discussões
inviável	impossível
monitorar	vigiar
premier	primeiro ministro
mortandade	mortalidade
segmento	pedaço
alarmado	inquieto
liderada	comandada
elucidar	explicar
isoladamente	sozinha
constataram	perceberam
restritas	limitadas
infectados	contaminados
